"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","Book directly, organize your points, and make sure you understand those basic economy tickets. Here's how to travel… https://t.co/oG0QT4bJWE",FALSE,216,NA,2020-01-05 15:33:27,TRUE,NA,"1213845977725120512",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",55,FALSE,FALSE,NA,NA
"20","Breaking News: Iraqi lawmakers have voted to oust U.S. troops over the killing of Iranian General Suleimani. In Ira… https://t.co/PefEt8pPOQ",FALSE,4247,NA,2020-01-05 15:11:55,TRUE,NA,"1213840556423602177",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",2243,FALSE,FALSE,NA,NA
"21","Every season we say it, and every season it’s true: There’s more intriguing television on the way than ever. Here a… https://t.co/g4jZtxH2S3",FALSE,191,NA,2020-01-05 15:01:49,TRUE,NA,"1213838016977997825",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",52,FALSE,FALSE,NA,NA
"22","""I’m angry at this administration, and even Obama’s administration for that matter. U.S. foreign policy, especially… https://t.co/2iJ54WZKCy",FALSE,416,NA,2020-01-05 14:40:07,TRUE,NA,"1213832552525574144",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",93,FALSE,FALSE,NA,NA
"23","A crash that involved 2 tractor-trailers, a tour bus, and a passenger vehicle on the Pennsylvania Turnpike has kill… https://t.co/h1BUhniaaJ",FALSE,164,NA,2020-01-05 14:20:05,TRUE,NA,"1213827513270652928",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",80,FALSE,FALSE,NA,NA
"24","""This could be the beginning of a new politics for Muslims and for India as well,"" said one Muslim doctor who atten… https://t.co/mEa92D69Eq",FALSE,537,NA,2020-01-05 14:00:02,TRUE,NA,"1213822468286234624",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",217,FALSE,FALSE,NA,NA
"25","At Fort Bragg, which is regarded as America's rapid-response force, some 3,500 soldiers are bound for the Middle Ea… https://t.co/vWMdiaP0w0",FALSE,1339,NA,2020-01-05 13:30:07,TRUE,NA,"1213814939196043265",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",686,FALSE,FALSE,NA,NA
"26","The Golden Globes are tonight. @kylebuchanan, our Carpetbagger columnist, has his picks for people and movies he ex… https://t.co/4gOp2pgyvM",FALSE,229,NA,2020-01-05 13:00:10,TRUE,NA,"1213807401390034945",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",39,FALSE,FALSE,NA,NA
"27","A complex and colorful chickpea stew, this is rich with vegetables, olive oil and Parmesan cheese. You can vary the… https://t.co/HRR6zl1dHS",FALSE,527,NA,2020-01-05 12:30:02,TRUE,NA,"1213799817761218560",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",86,FALSE,FALSE,NA,NA
"28","Thousands of people gathered for more than 80 antiwar protests across the U.S. — in cities including Washington, Ne… https://t.co/NrBAW97drO",FALSE,4871,NA,2020-01-05 12:00:08,TRUE,NA,"1213792291732836352",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",1556,FALSE,FALSE,NA,NA
"29","SmarterChild was a chatbot. Starting in 2001, you could instant message him on AOL Instant Messenger and MSN Messen… https://t.co/9b48e08Q8D",FALSE,289,NA,2020-01-05 11:30:08,TRUE,NA,"1213784742363041792",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",57,FALSE,FALSE,NA,NA
"30","""In clearing a spot for my car, he created a space where I felt loved."" https://t.co/Fs36Vgk3g2",FALSE,237,NA,2020-01-05 10:50:37,FALSE,NA,"1213774799257952256",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",34,FALSE,FALSE,NA,NA
"31","""If they could start over at 80, why couldn’t I at 30?"" https://t.co/FDyYqXa8RO",FALSE,358,NA,2020-01-05 10:30:05,FALSE,NA,"1213769629589524480",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",57,FALSE,FALSE,NA,NA
"32","“If you don’t get why blushing in a business meeting is the stuff of nightmares, then you’re not a heavy blusher,”… https://t.co/cxoc4h6Zop",FALSE,234,NA,2020-01-05 09:52:56,TRUE,NA,"1213760283824537601",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",46,FALSE,FALSE,NA,NA
"33","For a fleeting moment 20 years ago, there was tremendous energy around preparing for Y2K. Most of it was dark and f… https://t.co/citT0LxowK",FALSE,120,NA,2020-01-05 09:30:06,TRUE,NA,"1213754536449466368",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",30,FALSE,FALSE,NA,NA
"34","The Australian government has announced a large-scale use of military assets, a deployment not seen since World War… https://t.co/LnEjbItRRx",FALSE,2827,NA,2020-01-05 09:00:08,TRUE,NA,"1213746992909889536",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",1531,FALSE,FALSE,NA,NA
